gene_id	log2foldchange	group
ENSG00000109929	-0.145211208103069	others N = 3048
ENSG00000136261	0.047637926075175	others N = 3048
ENSG00000066933	0.331998843142064	others N = 3048
ENSG00000159579	-0.443166277502158	others N = 3048
ENSG00000165997	0.129035393196035	others N = 3048
ENSG00000095397	0.175975710470742	others N = 3048
ENSG00000049192	0.126411393106818	others N = 3048
ENSG00000143222	1.318620991441442	others N = 3048
ENSG00000165688	0.087146849805317	others N = 3048
ENSG00000198380	-0.045878823921263	others N = 3048
ENSG00000035928	-0.262085203844759	others N = 3048
ENSG00000165699	0.253092983604923	others N = 3048
ENSG00000180263	0.612900043367492	others N = 3048
ENSG00000014216	-0.301490215184068	others N = 3048
ENSG00000185477	1.28667307142738	others N = 3048
ENSG00000144369	0.197242057582176	others N = 3048
ENSG00000100304	-0.367360090155093	others N = 3048
ENSG00000117461	-0.182847332339753	others N = 3048
ENSG00000174738	0.459452612945934	others N = 3048
ENSG00000165689	-0.008037172905212	others N = 3048
ENSG00000145545	-0.181622016803811	others N = 3048
ENSG00000134352	-0.078464126866524	others N = 3048
